gateway          | 
idm              | INFO: Authorization foradmin
idm              | Jan 28, 2024 9:03:49 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:03:50 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:03:50 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:06:00 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:06:00 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:11:54 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:11:55 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:11:56 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:11:57 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:26:16 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:26:16 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:27:05 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:27:05 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:27:05 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:27:09 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:27:09 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:27:10 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:27:21 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:27:48 PM medical.idm.IDMServer$IdentityManagementService authorize
idm              | INFO: Authorization foradmin
idm              | Jan 28, 2024 9:27:48 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:27:49 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:27:49 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:29:47 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:29:48 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:29:51 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:32:36 PM medical.idm.IDMServer$IdentityManagementService authorize
idm              | INFO: Authorization foradmin
idm              | Jan 28, 2024 9:32:36 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:32:38 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:32:38 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:32:40 PM medical.idm.IDMServer$IdentityManagementService validate
mongodb-medical  | about to fork child process, waiting until server is ready for connections.
mariadb-idm      | 2024-01-28 20:48:45+00:00 [Note] [Entrypoint]: Entrypoint script for MariaDB Server 1:11.2.2+maria~ubu2204 started.
mariadb-idm      | 2024-01-28 20:48:45+00:00 [Note] [Entrypoint]: Switching to dedicated user 'mysql'
mariadb-idm      | 2024-01-28 20:48:45+00:00 [Note] [Entrypoint]: Entrypoint script for MariaDB Server 1:11.2.2+maria~ubu2204 started.
mariadb-idm      | 2024-01-28 20:48:46+00:00 [Note] [Entrypoint]: Initializing database files
gateway          | 2024-01-28T21:32:36.763Z  INFO 7 --- [nio-8080-exec-6]                                          : Method: POST, Path: /api/medical_office/login, Status: 200
gateway          | 2024-01-28T21:32:37.998Z  INFO 7 --- [nio-8080-exec-8]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:32:38.060Z  INFO 7 --- [nio-8080-exec-8]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:32:38.066Z  INFO 7 --- [nio-8080-exec-9]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:32:38.109Z  INFO 7 --- [nio-8080-exec-9]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:32:39.995Z  INFO 7 --- [io-8080-exec-10]                                          : Client: localhost:8080, Method: OPTIONS, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:32:39.995Z  INFO 7 --- [io-8080-exec-10]                                          : Method: OPTIONS, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:32:40.001Z  INFO 7 --- [nio-8080-exec-1]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:32:40.032Z  INFO 7 --- [nio-8080-exec-1]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:33:03.729Z  INFO 7 --- [nio-8080-exec-3]                                          : Client: localhost:8080, Method: POST, Path: /api/medical_office/login
gateway          | 2024-01-28T21:33:03.756Z  INFO 7 --- [nio-8080-exec-3]                                          : Method: POST, Path: /api/medical_office/login, Status: 200
gateway          | 2024-01-28T21:33:05.086Z  INFO 7 --- [nio-8080-exec-2]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:33:05.137Z  INFO 7 --- [nio-8080-exec-2]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:33:05.144Z  INFO 7 --- [nio-8080-exec-4]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:33:05.187Z  INFO 7 --- [nio-8080-exec-4]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:33:03 PM medical.idm.IDMServer$IdentityManagementService authorize
idm              | INFO: Authorization foradmin
idm              | Jan 28, 2024 9:33:03 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:33:05 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:33:05 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:33:06 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:33:08 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
mongodb-medical  | forked process: 28
mongodb-medical  | 
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:46.201+00:00"},"s":"I",  "c":"CONTROL",  "id":20698,   "ctx":"main","msg":"***** SERVER RESTARTED *****"}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:46.230+00:00"},"s":"I",  "c":"CONTROL",  "id":23285,   "ctx":"main","msg":"Automatically disabling TLS 1.0, to force-enable TLS 1.0 specify --sslDisabledProtocols 'none'"}
gateway          | 2024-01-28T21:33:06.205Z  INFO 7 --- [nio-8080-exec-5]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:33:06.249Z  INFO 7 --- [nio-8080-exec-5]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:33:08.327Z  INFO 7 --- [nio-8080-exec-7]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:33:08.383Z  INFO 7 --- [nio-8080-exec-7]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
mariadb-idm      | 
mariadb-idm      | 
mariadb-idm      | PLEASE REMEMBER TO SET A PASSWORD FOR THE MariaDB root USER !
mariadb-idm      | To do so, start the server, then issue the following command:
mariadb-idm      | 
mariadb-idm      | '/usr/bin/mariadb-secure-installation'
mariadb-idm      | 
mariadb-idm      | which will also give you the option of removing the test
mariadb-idm      | databases and anonymous user created by default.  This is
mariadb-idm      | strongly recommended for production servers.
mariadb-idm      | 
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:46.232+00:00"},"s":"I",  "c":"NETWORK",  "id":4915701, "ctx":"main","msg":"Initialized wire specification","attr":{"spec":{"incomingExternalClient":{"minWireVersion":0,"maxWireVersion":21},"incomingInternalClient":{"minWireVersion":0,"maxWireVersion":21},"outgoing":{"minWireVersion":6,"maxWireVersion":21},"isInternalClient":true}}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:46.241+00:00"},"s":"I",  "c":"NETWORK",  "id":4648601, "ctx":"main","msg":"Implicit TCP FastOpen unavailable. If TCP FastOpen is required, set tcpFastOpenServer, tcpFastOpenClient, and tcpFastOpenQueueSize."}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:46.253+00:00"},"s":"I",  "c":"REPL",     "id":5123008, "ctx":"main","msg":"Successfully registered PrimaryOnlyService","attr":{"service":"TenantMigrationDonorService","namespace":"config.tenantMigrationDonors"}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:46.253+00:00"},"s":"I",  "c":"REPL",     "id":5123008, "ctx":"main","msg":"Successfully registered PrimaryOnlyService","attr":{"service":"TenantMigrationRecipientService","namespace":"config.tenantMigrationRecipients"}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:46.253+00:00"},"s":"I",  "c":"CONTROL",  "id":5945603, "ctx":"main","msg":"Multi threading initialized"}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:46.253+00:00"},"s":"I",  "c":"TENANT_M", "id":7091600, "ctx":"main","msg":"Starting TenantMigrationAccessBlockerRegistry"}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:46.255+00:00"},"s":"I",  "c":"CONTROL",  "id":4615611, "ctx":"initandlisten","msg":"MongoDB starting","attr":{"pid":28,"port":27017,"dbPath":"/data/db","architecture":"64-bit","host":"adfbb43d9d34"}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:46.255+00:00"},"s":"I",  "c":"CONTROL",  "id":23403,   "ctx":"initandlisten","msg":"Build Info","attr":{"buildInfo":{"version":"7.0.4","gitVersion":"38f3e37057a43d2e9f41a39142681a76062d582e","openSSLVersion":"OpenSSL 3.0.2 15 Mar 2022","modules":[],"allocator":"tcmalloc","environment":{"distmod":"ubuntu2204","distarch":"x86_64","target_arch":"x86_64"}}}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:46.255+00:00"},"s":"I",  "c":"CONTROL",  "id":51765,   "ctx":"initandlisten","msg":"Operating System","attr":{"os":{"name":"Ubuntu","version":"22.04"}}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:46.255+00:00"},"s":"I",  "c":"CONTROL",  "id":21951,   "ctx":"initandlisten","msg":"Options set by command line","attr":{"options":{"net":{"bindIp":"127.0.0.1","port":27017,"tls":{"mode":"disabled"}},"processManagement":{"fork":true,"pidFilePath":"/tmp/docker-entrypoint-temp-mongod.pid"},"systemLog":{"destination":"file","logAppend":true,"path":"/proc/1/fd/1"}}}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:46.260+00:00"},"s":"I",  "c":"STORAGE",  "id":22297,   "ctx":"initandlisten","msg":"Using the XFS filesystem is strongly recommended with the WiredTiger storage engine. See http://dochub.mongodb.org/core/prodnotes-filesystem","tags":["startupWarnings"]}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:46.260+00:00"},"s":"I",  "c":"STORAGE",  "id":22315,   "ctx":"initandlisten","msg":"Opening WiredTiger","attr":{"config":"create,cache_size=429M,session_max=33000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,remove=true,path=journal,compressor=snappy),builtin_extension_config=(zstd=(compression_level=6)),file_manager=(close_idle_time=600,close_scan_interval=10,close_handle_minimum=2000),statistics_log=(wait=0),json_output=(error,message),verbose=[recovery_progress:1,checkpoint_progress:1,compact_progress:1,backup:0,checkpoint:0,compact:0,evict:0,history_store:0,recovery:0,rts:0,salvage:0,tiered:0,timestamp:0,transaction:0,verify:0,log:0],"}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.204+00:00"},"s":"I",  "c":"STORAGE",  "id":4795906, "ctx":"initandlisten","msg":"WiredTiger opened","attr":{"durationMillis":943}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.204+00:00"},"s":"I",  "c":"RECOVERY", "id":23987,   "ctx":"initandlisten","msg":"WiredTiger recoveryTimestamp","attr":{"recoveryTimestamp":{"$timestamp":{"t":0,"i":0}}}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.375+00:00"},"s":"W",  "c":"CONTROL",  "id":22120,   "ctx":"initandlisten","msg":"Access control is not enabled for the database. Read and write access to data and configuration is unrestricted","tags":["startupWarnings"]}
mariadb-idm      | See the MariaDB Knowledgebase at https://mariadb.com/kb
mariadb-idm      | 
mariadb-idm      | Please report any problems at https://mariadb.org/jira
mariadb-idm      | 
mariadb-idm      | The latest information about MariaDB is available at https://mariadb.org/.
mariadb-idm      | 
mariadb-idm      | Consider joining MariaDB's strong and vibrant community:
mariadb-idm      | https://mariadb.org/get-involved/
mariadb-idm      | 
mariadb-idm      | 2024-01-28 20:48:54+00:00 [Note] [Entrypoint]: Database files initialized
mariadb-idm      | 2024-01-28 20:48:54+00:00 [Note] [Entrypoint]: Starting temporary server
mariadb-idm      | 2024-01-28 20:48:54+00:00 [Note] [Entrypoint]: Waiting for server startup
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] Starting MariaDB 11.2.2-MariaDB-1:11.2.2+maria~ubu2204 source revision 929532a9426d085111c24c63de9c23cc54382259 as process 101
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] InnoDB: Number of transaction pools: 1
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] InnoDB: Using crc32 + pclmulqdq instructions
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.375+00:00"},"s":"W",  "c":"CONTROL",  "id":5123300, "ctx":"initandlisten","msg":"vm.max_map_count is too low","attr":{"currentValue":262144,"recommendedMinimum":1677720,"maxConns":838860},"tags":["startupWarnings"]}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.376+00:00"},"s":"I",  "c":"STORAGE",  "id":20320,   "ctx":"initandlisten","msg":"createCollection","attr":{"namespace":"admin.system.version","uuidDisposition":"provided","uuid":{"uuid":{"$uuid":"46b576d2-44e3-4b17-aea4-fc2cd95ab525"}},"options":{"uuid":{"$uuid":"46b576d2-44e3-4b17-aea4-fc2cd95ab525"}}}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.450+00:00"},"s":"I",  "c":"INDEX",    "id":20345,   "ctx":"initandlisten","msg":"Index build: done building","attr":{"buildUUID":null,"collectionUUID":{"uuid":{"$uuid":"46b576d2-44e3-4b17-aea4-fc2cd95ab525"}},"namespace":"admin.system.version","index":"_id_","ident":"index-1-5016437411990183669","collectionIdent":"collection-0-5016437411990183669","commitTimestamp":null}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.453+00:00"},"s":"I",  "c":"REPL",     "id":20459,   "ctx":"initandlisten","msg":"Setting featureCompatibilityVersion","attr":{"newVersion":"7.0"}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.468+00:00"},"s":"I",  "c":"REPL",     "id":5853300, "ctx":"initandlisten","msg":"current featureCompatibilityVersion value","attr":{"featureCompatibilityVersion":"7.0","context":"setFCV"}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.469+00:00"},"s":"I",  "c":"NETWORK",  "id":4915702, "ctx":"initandlisten","msg":"Updated wire specification","attr":{"oldSpec":{"incomingExternalClient":{"minWireVersion":0,"maxWireVersion":21},"incomingInternalClient":{"minWireVersion":0,"maxWireVersion":21},"outgoing":{"minWireVersion":6,"maxWireVersion":21},"isInternalClient":true},"newSpec":{"incomingExternalClient":{"minWireVersion":0,"maxWireVersion":21},"incomingInternalClient":{"minWireVersion":21,"maxWireVersion":21},"outgoing":{"minWireVersion":21,"maxWireVersion":21},"isInternalClient":true}}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.470+00:00"},"s":"I",  "c":"NETWORK",  "id":4915702, "ctx":"initandlisten","msg":"Updated wire specification","attr":{"oldSpec":{"incomingExternalClient":{"minWireVersion":0,"maxWireVersion":21},"incomingInternalClient":{"minWireVersion":21,"maxWireVersion":21},"outgoing":{"minWireVersion":21,"maxWireVersion":21},"isInternalClient":true},"newSpec":{"incomingExternalClient":{"minWireVersion":0,"maxWireVersion":21},"incomingInternalClient":{"minWireVersion":21,"maxWireVersion":21},"outgoing":{"minWireVersion":21,"maxWireVersion":21},"isInternalClient":true}}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.470+00:00"},"s":"I",  "c":"REPL",     "id":5853300, "ctx":"initandlisten","msg":"current featureCompatibilityVersion value","attr":{"featureCompatibilityVersion":"7.0","context":"startup"}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.470+00:00"},"s":"I",  "c":"STORAGE",  "id":5071100, "ctx":"initandlisten","msg":"Clearing temp directory"}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.470+00:00"},"s":"I",  "c":"CONTROL",  "id":6608200, "ctx":"initandlisten","msg":"Initializing cluster server parameters from disk"}
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] mariadbd: O_TMPFILE is not supported on /tmp (disabling future attempts)
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] InnoDB: Using liburing
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] InnoDB: Initializing buffer pool, total size = 128.000MiB, chunk size = 2.000MiB
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] InnoDB: Completed initialization of buffer pool
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] InnoDB: File system buffers for log disabled (block size=512 bytes)
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] InnoDB: End of log at LSN=47629
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] InnoDB: Opened 3 undo tablespaces
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] InnoDB: 128 rollback segments in 3 undo tablespaces are active.
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] InnoDB: Setting file './ibtmp1' size to 12.000MiB. Physically writing the file full; Please wait ...
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] InnoDB: File './ibtmp1' size is now 12.000MiB.
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.470+00:00"},"s":"I",  "c":"CONTROL",  "id":20536,   "ctx":"initandlisten","msg":"Flow Control is enabled on this deployment"}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.471+00:00"},"s":"I",  "c":"FTDC",     "id":20625,   "ctx":"initandlisten","msg":"Initializing full-time diagnostic data capture","attr":{"dataDirectory":"/data/db/diagnostic.data"}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.514+00:00"},"s":"I",  "c":"STORAGE",  "id":20320,   "ctx":"initandlisten","msg":"createCollection","attr":{"namespace":"local.startup_log","uuidDisposition":"generated","uuid":{"uuid":{"$uuid":"fdfb9c93-820c-4d89-b63d-2908aa4cc995"}},"options":{"capped":true,"size":10485760}}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.613+00:00"},"s":"I",  "c":"INDEX",    "id":20345,   "ctx":"initandlisten","msg":"Index build: done building","attr":{"buildUUID":null,"collectionUUID":{"uuid":{"$uuid":"fdfb9c93-820c-4d89-b63d-2908aa4cc995"}},"namespace":"local.startup_log","index":"_id_","ident":"index-3-5016437411990183669","collectionIdent":"collection-2-5016437411990183669","commitTimestamp":null}}
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] InnoDB: log sequence number 47629; transaction id 14
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] Plugin 'FEEDBACK' is disabled.
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] Plugin 'wsrep-provider' is disabled.
mariadb-idm      | 2024-01-28 20:48:54 0 [Warning] 'user' entry 'root@538bbcd9a621' ignored in --skip-name-resolve mode.
mariadb-idm      | 2024-01-28 20:48:54 0 [Warning] 'proxies_priv' entry '@% root@538bbcd9a621' ignored in --skip-name-resolve mode.
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] mariadbd: Event Scheduler: Loaded 0 events
mariadb-idm      | 2024-01-28 20:48:54 0 [Note] mariadbd: ready for connections.
mariadb-idm      | Version: '11.2.2-MariaDB-1:11.2.2+maria~ubu2204'  socket: '/run/mysqld/mysqld.sock'  port: 0  mariadb.org binary distribution
mariadb-idm      | 2024-01-28 20:48:55+00:00 [Note] [Entrypoint]: Temporary server started.
mariadb-idm      | 2024-01-28 20:49:00+00:00 [Note] [Entrypoint]: Creating database User
mariadb-idm      | 2024-01-28 20:49:00+00:00 [Note] [Entrypoint]: Securing system users (equivalent to running mysql_secure_installation)
mariadb-idm      | 
mariadb-idm      | 2024-01-28 20:49:00+00:00 [Note] [Entrypoint]: /usr/local/bin/docker-entrypoint.sh: running /docker-entrypoint-initdb.d/users.sql
mariadb-idm      | 
mariadb-idm      | 
mariadb-idm      | 2024-01-28 20:49:00+00:00 [Note] [Entrypoint]: Stopping temporary server
mariadb-idm      | 2024-01-28 20:49:00 0 [Note] mariadbd (initiated by: unknown): Normal shutdown
mariadb-idm      | 2024-01-28 20:49:00 0 [Note] InnoDB: FTS optimize thread exiting.
mariadb-idm      | 2024-01-28 20:49:00 0 [Note] InnoDB: Starting shutdown...
mariadb-idm      | 2024-01-28 20:49:00 0 [Note] InnoDB: Dumping buffer pool(s) to /var/lib/mysql/ib_buffer_pool
mariadb-idm      | 2024-01-28 20:49:00 0 [Note] InnoDB: Buffer pool(s) dump completed at 240128 20:49:00
mariadb-idm      | 2024-01-28 20:49:01 0 [Note] InnoDB: Removed temporary tablespace data file: "./ibtmp1"
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.613+00:00"},"s":"I",  "c":"REPL",     "id":6015317, "ctx":"initandlisten","msg":"Setting new configuration state","attr":{"newState":"ConfigReplicationDisabled","oldState":"ConfigPreStart"}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.613+00:00"},"s":"I",  "c":"STORAGE",  "id":22262,   "ctx":"initandlisten","msg":"Timestamp monitor starting"}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.619+00:00"},"s":"I",  "c":"NETWORK",  "id":23015,   "ctx":"listener","msg":"Listening on","attr":{"address":"/tmp/mongodb-27017.sock"}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.619+00:00"},"s":"I",  "c":"NETWORK",  "id":23015,   "ctx":"listener","msg":"Listening on","attr":{"address":"127.0.0.1"}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.619+00:00"},"s":"I",  "c":"NETWORK",  "id":23016,   "ctx":"listener","msg":"Waiting for connections","attr":{"port":27017,"ssl":"off"}}
mongodb-medical  | child process started successfully, parent exiting
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.627+00:00"},"s":"I",  "c":"STORAGE",  "id":20320,   "ctx":"LogicalSessionCacheRefresh","msg":"createCollection","attr":{"namespace":"config.system.sessions","uuidDisposition":"generated","uuid":{"uuid":{"$uuid":"7860f0de-d794-49fb-a7ed-66d1e2a4a348"}},"options":{}}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.633+00:00"},"s":"I",  "c":"CONTROL",  "id":20712,   "ctx":"LogicalSessionCacheReap","msg":"Sessions collection is not set up; waiting until next sessions reap interval","attr":{"error":"NamespaceNotFound: config.system.sessions does not exist"}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.750+00:00"},"s":"I",  "c":"REPL",     "id":7360102, "ctx":"LogicalSessionCacheRefresh","msg":"Added oplog entry for create to transaction","attr":{"namespace":"config.$cmd","uuid":{"uuid":{"$uuid":"7860f0de-d794-49fb-a7ed-66d1e2a4a348"}},"object":{"create":"system.sessions","idIndex":{"v":2,"key":{"_id":1},"name":"_id_"}}}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.751+00:00"},"s":"I",  "c":"REPL",     "id":7360100, "ctx":"LogicalSessionCacheRefresh","msg":"Added oplog entry for createIndexes to transaction","attr":{"namespace":"config.$cmd","uuid":{"uuid":{"$uuid":"7860f0de-d794-49fb-a7ed-66d1e2a4a348"}},"object":{"createIndexes":"system.sessions","v":2,"key":{"lastUse":1},"name":"lsidTTLIndex","expireAfterSeconds":1800}}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.798+00:00"},"s":"I",  "c":"INDEX",    "id":20345,   "ctx":"LogicalSessionCacheRefresh","msg":"Index build: done building","attr":{"buildUUID":null,"collectionUUID":{"uuid":{"$uuid":"7860f0de-d794-49fb-a7ed-66d1e2a4a348"}},"namespace":"config.system.sessions","index":"_id_","ident":"index-5-5016437411990183669","collectionIdent":"collection-4-5016437411990183669","commitTimestamp":null}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.799+00:00"},"s":"I",  "c":"INDEX",    "id":20345,   "ctx":"LogicalSessionCacheRefresh","msg":"Index build: done building","attr":{"buildUUID":null,"collectionUUID":{"uuid":{"$uuid":"7860f0de-d794-49fb-a7ed-66d1e2a4a348"}},"namespace":"config.system.sessions","index":"lsidTTLIndex","ident":"index-6-5016437411990183669","collectionIdent":"collection-4-5016437411990183669","commitTimestamp":null}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:47.799+00:00"},"s":"I",  "c":"COMMAND",  "id":51803,   "ctx":"LogicalSessionCacheRefresh","msg":"Slow query","attr":{"type":"command","ns":"config.system.sessions","command":{"createIndexes":"system.sessions","v":2,"indexes":[{"key":{"lastUse":1},"name":"lsidTTLIndex","expireAfterSeconds":1800}],"ignoreUnknownIndexOptions":false,"writeConcern":{},"$db":"config"},"numYields":0,"reslen":114,"locks":{"ParallelBatchWriterMode":{"acquireCount":{"r":5}},"FeatureCompatibilityVersion":{"acquireCount":{"r":2,"w":3}},"ReplicationStateTransition":{"acquireCount":{"w":5}},"Global":{"acquireCount":{"r":2,"w":3}},"Database":{"acquireCount":{"r":2,"w":3}},"Collection":{"acquireCount":{"r":2,"w":3}},"Mutex":{"acquireCount":{"r":2}}},"flowControl":{"acquireCount":1},"storage":{},"cpuNanos":13918663,"protocol":"op_msg","durationMillis":172}}
mongodb-medical  | {"t":{"$date":"2024-01-28T20:48:50.857+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:52466","uuid":{"uuid":{"$uuid":"1a7580ce-18cb-4652-87eb-104948866d82"}},"connectionId":1,"connectionCount":1}}
